filename,year,cam_position,cam_num,sample_num,label_filename,label_principal,multiple,chunk,mixed_quality,reviewed,labeled_by
2025_Conforme_1_Cam_B_1_0.jpg,2025,B,1,0,Conforme,Vide,False,False,False,True,NicoG
2025_Conforme_1_Cam_B_1_1.jpg,2025,B,1,1,Conforme,Vide,False,False,False,True,NicoG
2025_Conforme_1_Cam_B_1_10.jpg,2025,B,1,10,Conforme,Vide,False,False,False,True,NicoG
2025_Conforme_1_Cam_B_1_100.jpg,2025,B,1,100,Conforme,Conforme,False,False,False,True,NicoG
2025_Conforme_1_Cam_B_1_101.jpg,2025,B,1,101,Conforme,Vide,False,False,False,True,NicoG
2025_Conforme_1_Cam_B_1_102.jpg,2025,B,1,102,Conforme,Conforme,False,False,False,True,NicoG
2025_Conforme_1_Cam_B_1_103.jpg,2025,B,1,103,Conforme,Conforme,True,False,False,True,NicoG
2025_Conforme_1_Cam_B_1_104.jpg,2025,B,1,104,Conforme,Conforme,False,False,False,True,NicoG
2025_Conforme_1_Cam_B_1_105.jpg,2025,B,1,105,Conforme,Conforme,False,False,False,True,NicoG
2025_Conforme_1_Cam_B_1_106.jpg,2025,B,1,106,Conforme,Vide,False,False,False,True,NicoG
2025_Conforme_1_Cam_B_1_107.jpg,2025,B,1,107,Conforme,Conforme,False,False,False,True,NicoG
2025_Conforme_1_Cam_B_1_108.jpg,2025,B,1,108,Conforme,Vide,False,False,False,True,NicoG
2025_Conforme_1_Cam_B_1_109.jpg,2025,B,1,109,Conforme,Vide,False,False,False,True,NicoG
2025_Conforme_1_Cam_B_1_11.jpg,2025,B,1,11,Conforme,Vide,False,False,False,True,NicoG
2025_Conforme_1_Cam_B_1_110.jpg,2025,B,1,110,Conforme,Vide,False,False,False,True,NicoG
2025_Conforme_1_Cam_B_1_111.jpg,2025,B,1,111,Conforme,Vide,False,False,False,True,NicoG
2025_Conforme_1_Cam_B_1_112.jpg,2025,B,1,112,Conforme,Conforme,False,False,False,True,NicoG
2025_Conforme_1_Cam_B_1_113.jpg,2025,B,1,113,Conforme,Conforme,False,False,False,True,NicoG
2025_Conforme_1_Cam_B_1_114.jpg,2025,B,1,114,Conforme,Conforme,False,False,False,True,NicoG
2025_Conforme_1_Cam_B_1_115.jpg,2025,B,1,115,Conforme,Vide,False,False,False,True,NicoG
