pairkey,split,label_chestnut,year,cam_num,T_filename,B_filename,has_T,has_B,multiple,chunk
2025_Conforme_1_Cam_X_1_0.jpg,train,Vide,2025,1,2025_Conforme_1_Cam_T_1_0.jpg,2025_Conforme_1_Cam_B_1_0.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_1.jpg,train,Vide,2025,1,2025_Conforme_1_Cam_T_1_1.jpg,2025_Conforme_1_Cam_B_1_1.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_10.jpg,train,Vide,2025,1,2025_Conforme_1_Cam_T_1_10.jpg,2025_Conforme_1_Cam_B_1_10.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_100.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_100.jpg,2025_Conforme_1_Cam_B_1_100.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_101.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_101.jpg,2025_Conforme_1_Cam_B_1_101.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_102.jpg,val,Conforme,2025,1,2025_Conforme_1_Cam_T_1_102.jpg,2025_Conforme_1_Cam_B_1_102.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_103.jpg,test,Conforme,2025,1,2025_Conforme_1_Cam_T_1_103.jpg,2025_Conforme_1_Cam_B_1_103.jpg,True,True,True,False
2025_Conforme_1_Cam_X_1_104.jpg,test,Conforme,2025,1,2025_Conforme_1_Cam_T_1_104.jpg,2025_Conforme_1_Cam_B_1_104.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_105.jpg,val,Conforme,2025,1,2025_Conforme_1_Cam_T_1_105.jpg,2025_Conforme_1_Cam_B_1_105.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_106.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_106.jpg,2025_Conforme_1_Cam_B_1_106.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_107.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_107.jpg,2025_Conforme_1_Cam_B_1_107.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_108.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_108.jpg,2025_Conforme_1_Cam_B_1_108.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_109.jpg,test,Conforme,2025,1,2025_Conforme_1_Cam_T_1_109.jpg,2025_Conforme_1_Cam_B_1_109.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_11.jpg,train,Vide,2025,1,2025_Conforme_1_Cam_T_1_11.jpg,2025_Conforme_1_Cam_B_1_11.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_110.jpg,test,Conforme,2025,1,2025_Conforme_1_Cam_T_1_110.jpg,2025_Conforme_1_Cam_B_1_110.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_111.jpg,val,Conforme,2025,1,2025_Conforme_1_Cam_T_1_111.jpg,2025_Conforme_1_Cam_B_1_111.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_112.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_112.jpg,2025_Conforme_1_Cam_B_1_112.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_113.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_113.jpg,2025_Conforme_1_Cam_B_1_113.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_114.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_114.jpg,2025_Conforme_1_Cam_B_1_114.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_115.jpg,val,Conforme,2025,1,2025_Conforme_1_Cam_T_1_115.jpg,2025_Conforme_1_Cam_B_1_115.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_116.jpg,val,Vide,2025,1,2025_Conforme_1_Cam_T_1_116.jpg,2025_Conforme_1_Cam_B_1_116.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_117.jpg,val,Conforme,2025,1,2025_Conforme_1_Cam_T_1_117.jpg,2025_Conforme_1_Cam_B_1_117.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_118.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_118.jpg,2025_Conforme_1_Cam_B_1_118.jpg,True,True,True,False
2025_Conforme_1_Cam_X_1_119.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_119.jpg,2025_Conforme_1_Cam_B_1_119.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_12.jpg,test,Vide,2025,1,2025_Conforme_1_Cam_T_1_12.jpg,2025_Conforme_1_Cam_B_1_12.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_120.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_120.jpg,2025_Conforme_1_Cam_B_1_120.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_121.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_121.jpg,2025_Conforme_1_Cam_B_1_121.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_122.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_122.jpg,2025_Conforme_1_Cam_B_1_122.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_123.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_123.jpg,2025_Conforme_1_Cam_B_1_123.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_124.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_124.jpg,2025_Conforme_1_Cam_B_1_124.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_125.jpg,val,Conforme,2025,1,2025_Conforme_1_Cam_T_1_125.jpg,2025_Conforme_1_Cam_B_1_125.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_126.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_126.jpg,2025_Conforme_1_Cam_B_1_126.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_127.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_127.jpg,2025_Conforme_1_Cam_B_1_127.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_128.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_128.jpg,2025_Conforme_1_Cam_B_1_128.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_129.jpg,val,Conforme,2025,1,2025_Conforme_1_Cam_T_1_129.jpg,2025_Conforme_1_Cam_B_1_129.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_13.jpg,train,Vide,2025,1,2025_Conforme_1_Cam_T_1_13.jpg,2025_Conforme_1_Cam_B_1_13.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_130.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_130.jpg,2025_Conforme_1_Cam_B_1_130.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_131.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_131.jpg,2025_Conforme_1_Cam_B_1_131.jpg,True,True,True,False
2025_Conforme_1_Cam_X_1_132.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_132.jpg,2025_Conforme_1_Cam_B_1_132.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_133.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_133.jpg,2025_Conforme_1_Cam_B_1_133.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_134.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_134.jpg,2025_Conforme_1_Cam_B_1_134.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_135.jpg,test,Conforme,2025,1,2025_Conforme_1_Cam_T_1_135.jpg,2025_Conforme_1_Cam_B_1_135.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_136.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_136.jpg,2025_Conforme_1_Cam_B_1_136.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_137.jpg,test,Conforme,2025,1,2025_Conforme_1_Cam_T_1_137.jpg,2025_Conforme_1_Cam_B_1_137.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_138.jpg,val,Conforme,2025,1,2025_Conforme_1_Cam_T_1_138.jpg,2025_Conforme_1_Cam_B_1_138.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_139.jpg,val,Conforme,2025,1,2025_Conforme_1_Cam_T_1_139.jpg,2025_Conforme_1_Cam_B_1_139.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_14.jpg,val,Vide,2025,1,2025_Conforme_1_Cam_T_1_14.jpg,2025_Conforme_1_Cam_B_1_14.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_140.jpg,test,Conforme,2025,1,2025_Conforme_1_Cam_T_1_140.jpg,2025_Conforme_1_Cam_B_1_140.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_141.jpg,val,Conforme,2025,1,2025_Conforme_1_Cam_T_1_141.jpg,2025_Conforme_1_Cam_B_1_141.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_142.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_142.jpg,2025_Conforme_1_Cam_B_1_142.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_143.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_143.jpg,2025_Conforme_1_Cam_B_1_143.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_144.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_144.jpg,2025_Conforme_1_Cam_B_1_144.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_145.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_145.jpg,2025_Conforme_1_Cam_B_1_145.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_146.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_146.jpg,2025_Conforme_1_Cam_B_1_146.jpg,True,True,False,False
2025_Conforme_1_Cam_X_1_147.jpg,val,Conforme,2025,1,2025_Conforme_1_Cam_T_1_147.jpg,2025_Conforme_1_Cam_B_1_147.jpg,True,True,True,False
2025_Conforme_1_Cam_X_1_148.jpg,train,Conforme,2025,1,2025_Conforme_1_Cam_T_1_148.jpg,2025_Conforme_1_Cam_B_1_148.jpg,True,True,False,False
